x,y
0.0592,0.0108
0.1149,0.0256
0.1634,0.0389
0.2136,0.0527
0.2653,0.067
0.3163,0.0812
0.4147,0.1088
0.5123,0.1361
0.7689,0.2079
1.0209,0.2779
1.5509,0.4227
2.1841,0.5909
2.6959,0.7216
3.1641,0.8401
3.6628,0.9599
4.1742,1.081
5.0194,1.274
5.9985,1.4822
7.0436,1.6916
8.0798,1.8815
9.1198,2.0563
10.1758,2.2211
15.448,2.8672
20.3206,3.2804
25.551,3.6071
30.2566,3.8366
35.3792,4.0364
40.5401,4.2038
45.6827,4.3476
50.7599,4.4702
55.8772,4.5775
60.9569,4.6755
66.0137,4.7676
71.1282,4.8528
76.2043,4.9226
81.3065,4.991
86.3639,5.0608
91.4535,5.1223
96.483,5.1817
