eV	counts/s
10.00356	0
10.01656	-51
10.02956	22
10.04256	-95
10.05556	-9
10.06856	-28
10.08156	21
10.09456	1
10.10756	21
10.12056	-97
10.13356	-46
10.14656	6
10.15956	-54
10.17256	-48
10.18556	-61
10.19856	-38
10.21156	-60
10.22456	-61
10.23756	-24
10.25056	-86
10.26356	-28
10.27656	17
10.28956	13
10.30256	31
10.31556	39
10.32856	37
10.34156	41
10.35456	50
10.36756	42
10.38056	-30
10.39356	-2
10.40656	-13
10.41956	-27
10.43256	-26
10.44556	-8
10.45856	-25
10.47156	60
10.48456	38
10.49756	-15
10.51056	0
10.52356	39
10.53656	-1
10.54956	-13
10.56256	-1
10.57556	-9
10.58856	14
10.60156	6
10.61456	-13
10.62756	30
10.64056	69
10.65356	27
10.66656	37
10.67956	56
10.69256	21
10.70556	50
10.71856	63
10.73156	23
10.74456	17
10.75756	30
10.77056	5
10.78356	17
10.79656	28
10.80956	10
10.82256	10
10.83556	42
10.84856	49
10.86156	52
10.87456	141
10.88756	87
10.90056	59
10.91356	7
10.92656	55
10.93956	8
10.95256	-28
10.96556	65
10.97856	27
10.99156	20
11.00456	59
11.01756	33
11.03056	101
11.04356	87
11.05656	13
11.06956	26
11.08256	46
11.09556	75
11.10856	71
11.12156	100
11.13456	61
11.14756	35
11.16056	83
11.17356	71
11.18656	55
11.19956	70
11.21256	88
11.22556	75
11.23856	15
11.25156	88
11.26456	35
11.27756	27
11.29056	110
11.30356	100
11.31656	55
11.32956	135
11.34256	46
11.35556	-91
11.36856	161
11.38156	5
11.39456	6
11.40756	12
11.42056	71
11.43356	34
11.44656	51
11.45956	28
11.47256	56
11.48556	40
11.49856	76
11.51156	67
11.52456	111
11.53756	85
11.55056	48
11.56356	85
11.57656	68
11.58956	32
11.60256	44
11.61556	29
11.62856	32
11.64156	65
11.65456	42
11.66756	101
11.68056	55
11.69356	121
11.70656	129
11.71956	122
11.73256	98
11.74556	95
11.75856	27
11.77156	50
11.78456	67
11.79756	43
11.81056	91
11.82356	59
11.83656	-12
11.84956	13
11.86256	84
11.87556	132
11.88856	134
11.90156	111
11.91456	21
11.92756	5
11.94056	53
11.95356	44
11.96656	-5
11.97956	-9
11.99256	34
12.00556	23
12.01856	-4
12.03156	6
12.04456	18
12.05756	53
12.07056	114
12.08356	108
12.09656	57
12.10956	16
12.12256	52
12.13556	74
12.14856	53
12.16156	39
12.17456	41
12.18756	70
12.20056	43
12.21356	9
12.22656	84
12.23956	102
12.25256	155
12.26556	132
12.27856	135
12.29156	75
12.30456	70
12.31756	85
12.33056	84
12.34356	50
12.35656	-22
12.36956	33
12.38256	9
12.39556	62
12.40856	-10
12.42156	42
12.43456	41
12.44756	18
12.46056	33
12.47356	85
12.48656	35
12.49956	-30
12.51256	10
12.52556	105
12.53856	6
12.55156	122
12.56456	109
12.57756	134
12.59056	24
12.60356	86
12.61656	111
12.62956	61
12.64256	94
12.65556	46
12.66856	53
12.68156	135
12.69456	57
12.70756	0
12.72056	52
12.73356	17
12.74656	60
12.75956	68
12.77256	36
12.78556	49
12.79856	-4
12.81156	86
12.82456	-30
12.83756	91
12.85056	87
12.86356	127
12.87656	50
12.88956	55
12.90256	62
12.91556	14
12.92856	71
12.94156	117
12.95456	9
12.96756	51
12.98056	49
12.99356	47
13.00656	70
13.01956	9
13.03256	42
13.04556	12
13.05856	-39
13.07156	-4
13.08456	32
13.09756	18
13.11056	63
13.12356	120
13.13656	146
13.14956	135
13.16256	158
13.17556	99
13.18856	52
13.20156	11
13.21456	-8
13.22756	48
13.24056	27
13.25356	35
13.26656	50
